card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,0956a598-2d28-52b4-9a96-dc874b397052,https://n2t.net/ark:/15052/cb882ed9-fc0a-4ba8-8fa2-531b2dd81a86,Brabant Cloud ARK Identifier,ir. Fr. Everhard Molengraaf SS.CC,,,,Primary,Nederlands,,,,
Actors,0,09c56349-0bac-54db-ba8f-52033c19e20d,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,Brabant Cloud ARK Identifier,Odrada van Alem,"['Odrada', 'Odrada van Balen', 'Sint Odrada', 'Sint-Odrada', 'St. Odrada', 'Odrada van Balen-Scheps']",https://www.wikidata.org/wiki/Q2136721,Wikidata,Primary,Nederlands,,,,
Alternate names,1,09c56349-0bac-54db-ba8f-52033c19e20d,,,,,,,,,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,Odrada,Alternative,Nederlands
Alternate names,1,09c56349-0bac-54db-ba8f-52033c19e20d,,,,,,,,,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,Odrada van Balen,Alternative,Nederlands
Alternate names,1,09c56349-0bac-54db-ba8f-52033c19e20d,,,,,,,,,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,Sint Odrada,Alternative,Nederlands
Alternate names,1,09c56349-0bac-54db-ba8f-52033c19e20d,,,,,,,,,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,Sint-Odrada,Alternative,Nederlands
Alternate names,1,09c56349-0bac-54db-ba8f-52033c19e20d,,,,,,,,,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,St. Odrada,Alternative,Nederlands
Alternate names,1,09c56349-0bac-54db-ba8f-52033c19e20d,,,,,,,,,https://n2t.net/ark:/15052/3cbf068b-8a76-4df7-8ead-5aeb7fc72069,Odrada van Balen-Scheps,Alternative,Nederlands
Actors,0,09e705f4-a7e4-5a80-8c36-ed408de35633,https://n2t.net/ark:/15052/a6f8b31b-5b24-46e6-a287-d43f8b9aee65,Brabant Cloud ARK Identifier,H.P. Gremmen,,,,Primary,Nederlands,,,,
Actors,0,0b5fae8b-f553-55de-ace7-7b891a2376db,https://n2t.net/ark:/15052/f7513536-2a12-40f3-b413-7fe996864af3,Brabant Cloud ARK Identifier,Victor van Xanten,,https://www.wikidata.org/entity/Q651226,Wikidata,Primary,Nederlands,,,,
Actors,0,0b907c94-f8cc-50fd-9bc2-0978e5391c15,https://n2t.net/ark:/15052/4fab1055-be29-4471-978a-6ea622c77d20,Brabant Cloud ARK Identifier,Heilige Catharina de Ricci,H. Catharina de Ricci,,,Primary,Nederlands,,,,
Actors,0,0c167f71-9048-5208-a434-6144bc88ca0c,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Brabant Cloud ARK Identifier,Barbara van Nicomedië,"['Sint-Barbara', 'St Barbara', 'Sint Barbara', 'Heilige Barbara', 'H Barbara', 'Barbara van Nicomedie', 'H. Barbara', 'St. Barbara']",https://www.wikidata.org/entity/Q192816,Wikidata,Primary,Nederlands,,,,
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Sint-Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,St Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Sint Barbara,Alternative,Nederlands
